character_name,"[('1987', 4)]","[('7891', 4)]","[('Arasaka', 4)]","[('Armydesert', 4)]","[('Armygreen', 4)]","[('Bamboo', 4)]","[('Cloud', 4)]","[('Cosmic', 4)]","[('Dawn', 4)]","[('Flute', 4)]","[('Freight', 4)]","[('Grassland', 4)]","[('KangTao', 4)]","[('Liquidation', 4)]","[('Militech', 4)]","[('NUSA', 4)]","[('Newspaper', 4)]","[('OldRusty', 4)]","[('Purplestar', 4)]","[('Rainbow', 4)]","[('Rose', 4)]","[('Runic', 4)]","[('Snowflake', 4)]","[('Sovereign', 4)]","[('Tigris', 4)]"
CheiHW,56.481481481481474,51.69491525423729,51.271186440677965,51.52838427947598,58.490566037735846,58.75,48.53556485355649,43.36283185840708,54.95495495495496,45.58139534883721,54.91803278688525,54.7945205479452,50.69124423963134,50.62240663900415,53.6036036036036,61.261261261261254,53.24074074074075,57.327586206896555,51.4018691588785,51.271186440677965,48.30508474576271,53.50877192982456,53.55648535564853,50.63291139240506,49.30875576036866
Chiffon,54.43548387096774,60.88888888888889,50.22222222222222,53.18181818181819,51.37614678899083,50.44247787610619,50.92592592592593,45.94594594594595,45.23809523809524,51.42857142857142,53.879310344827594,48.05194805194805,54.460093896713616,51.388888888888886,55.37848605577689,53.70370370370371,51.81818181818182,55.80357142857143,56.730769230769226,49.2063492063492,54.18326693227091,53.6,53.2967032967033,51.85185185185185,49.361702127659576
Clarence,45.45454545454545,54.90196078431373,44.843049327354265,42.608695652173914,50.39682539682539,50.638297872340424,39.06976744186046,39.166666666666664,44.6078431372549,49.54128440366973,47.52475247524752,55.309734513274336,49.789029535864984,53.21888412017167,46.36363636363636,46.666666666666664,48.095238095238095,45.96774193548387,44.680851063829785,47.88732394366197,41.9753086419753,50.45871559633027,47.77327935222672,50.23474178403756,48.67256637168141
Cliffe,48.97959183673469,52.60869565217391,43.51851851851852,47.74774774774775,53.74449339207048,54.46808510638298,48.35680751173709,51.886792452830186,51.05263157894737,47.19626168224299,45.32710280373832,55.00000000000001,54.506437768240346,47.82608695652174,45.33333333333333,59.82142857142857,50.42372881355932,51.86915887850467,56.46551724137932,53.36538461538461,46.85990338164252,50.0,51.442307692307686,50.98814229249013,54.88372093023256
Clover,43.04932735426009,52.55813953488372,47.39336492890995,45.17766497461929,50.0,40.08438818565401,41.08108108108108,49.08256880733945,49.35622317596567,44.03669724770643,47.29064039408867,43.86792452830189,43.61233480176212,49.55357142857143,43.24324324324324,55.55555555555556,42.792792792792795,47.94520547945205,52.94117647058824,47.68518518518518,48.8479262672811,45.58139534883721,50.43103448275862,54.54545454545454,47.706422018348626
Cocoa,61.03286384976526,60.08583690987125,59.45945945945946,63.31877729257642,62.62135922330098,57.45614035087719,57.073170731707314,59.44700460829493,53.97489539748954,56.82819383259912,55.35714285714286,50.81967213114754,51.35135135135135,58.69565217391305,65.48672566371681,61.37339055793991,57.00934579439251,65.61264822134387,65.7258064516129,55.5045871559633,60.71428571428571,64.51612903225806,54.0,55.12820512820513,56.19047619047619
CocoaRT,51.813471502590666,60.48780487804878,59.909909909909906,56.69642857142857,66.53386454183267,61.92468619246861,43.09623430962343,65.82278481012658,54.46808510638298,56.10859728506787,57.14285714285714,54.6875,54.01785714285714,62.28070175438597,59.42028985507246,61.79245283018868,53.58649789029536,60.6425702811245,63.71308016877637,55.27426160337553,47.44186046511628,54.87179487179488,57.27272727272727,52.589641434262944,51.61290322580645
Cory,43.78109452736319,38.04878048780488,44.642857142857146,38.53211009174312,41.99134199134199,37.28813559322034,36.56387665198238,33.175355450236964,40.36697247706422,51.45228215767634,32.82828282828283,38.36734693877551,42.241379310344826,41.14583333333333,39.46188340807175,43.09623430962343,40.63926940639269,38.70967741935484,37.79904306220095,32.88288288288289,35.55555555555556,38.11881188118812,36.05150214592275,38.967136150234744,43.47826086956522
Cupid,39.565217391304344,49.14529914529914,48.89867841409692,51.58371040723983,53.48837209302325,39.647577092511014,38.63636363636363,45.33333333333333,41.1214953271028,43.08300395256917,34.40860215053764,47.55555555555556,40.92827004219409,45.33333333333333,48.01980198019802,45.14767932489451,47.65957446808511,44.396551724137936,44.921875,46.63212435233161,40.98360655737705,57.91666666666667,51.24378109452736,50.51020408163265,44.10480349344978
Don,50.69124423963134,46.55172413793103,51.45631067961165,48.18181818181818,51.73913043478261,48.660714285714285,48.660714285714285,37.21973094170403,47.706422018348626,49.56140350877193,46.84684684684685,46.7005076142132,53.69458128078818,50.49019607843137,46.889952153110045,46.7005076142132,49.54128440366973,44.81132075471698,51.12107623318386,50.88495575221239,48.24561403508772,42.97872340425532,47.47899159663865,50.62240663900415,49.056603773584904
Dophine,48.31932773109243,42.98642533936652,45.77777777777778,51.68067226890757,52.23214285714286,49.35064935064935,52.31481481481482,45.535714285714285,45.370370370370374,41.55251141552511,48.458149779735685,43.39622641509434,43.07692307692308,45.2,47.84688995215311,55.21739130434783,47.34513274336283,47.67932489451477,50.81300813008131,46.25,46.53061224489796,51.78571428571429,46.22222222222222,44.58874458874459,41.31274131274131
East,50.69124423963134,46.12068965517241,39.42307692307692,45.812807881773395,42.857142857142854,47.11111111111111,41.125541125541126,39.800995024875625,54.066985645933016,45.07042253521127,42.30769230769231,41.62679425837321,43.689320388349515,48.1981981981982,45.9349593495935,52.78969957081545,39.66942148760331,49.38775510204081,46.49122807017544,44.5945945945946,46.03960396039604,43.40425531914894,45.18828451882845,48.30508474576271,44.76987447698745
Eddie,49.11504424778761,47.91666666666667,58.490566037735846,45.22821576763486,53.403141361256544,48.728813559322035,48.223350253807105,42.68774703557312,59.24170616113744,43.47826086956522,54.054054054054056,44.73684210526316,54.07725321888413,51.98237885462555,47.94520547945205,56.01659751037344,47.44186046511628,41.56378600823045,49.00990099009901,46.05263157894737,50.96153846153846,47.41379310344828,53.41365461847389,47.64150943396226,51.73913043478261
Fenrir,48.78048780487805,48.837209302325576,48.45360824742268,50.0,53.48837209302325,52.68817204301075,46.0,40.19607843137255,37.5,49.45054945054945,54.807692307692314,43.95604395604395,45.744680851063826,39.50617283950617,55.0561797752809,53.125,37.719298245614034,50.0,38.88888888888889,45.16129032258064,45.19230769230769,50.0,45.744680851063826,43.52941176470589,45.45454545454545
FenrirSC,48.53556485355649,44.15584415584416,42.6605504587156,44.23963133640553,42.924528301886795,41.86991869918699,44.39252336448598,38.42592592592592,41.36363636363637,46.63461538461539,43.05555555555556,46.50205761316872,50.81300813008131,43.47826086956522,46.49122807017544,51.04602510460251,42.78846153846153,46.330275229357795,51.141552511415526,37.45019920318725,39.02439024390244,48.69565217391305,47.767857142857146,44.73684210526316,41.474654377880185
Fox,53.70370370370371,52.51141552511416,56.95652173913044,60.0,60.46511627906976,54.25101214574899,46.90265486725664,56.65024630541872,51.53061224489795,47.963800904977376,51.31578947368421,50.45045045045045,57.77777777777777,57.14285714285714,51.569506726457405,60.84905660377359,55.55555555555556,48.01762114537445,51.76991150442478,56.25,50.970873786407765,55.41125541125541,52.083333333333336,50.92592592592593,54.87804878048781
Fred,50.89285714285714,55.76036866359447,47.926267281105986,43.75,44.957983193277315,44.94949494949495,47.63948497854077,40.74074074074074,46.009389671361504,49.18032786885246,47.599999999999994,53.36134453781513,50.49019607843137,52.17391304347826,45.85365853658537,50.23696682464455,50.0,51.96506550218341,45.73991031390135,44.8559670781893,46.288209606986904,45.887445887445885,45.04950495049505,47.98206278026906,46.568627450980394
Freya,47.368421052631575,51.48936170212765,51.4018691588785,46.21848739495798,50.0,54.86725663716814,50.0,44.01709401709402,52.94117647058824,42.48927038626609,52.54237288135594,54.97835497835498,51.04602510460251,51.94174757281553,44.18604651162791,51.627906976744185,46.52173913043478,45.81673306772908,41.7989417989418,48.54771784232365,46.596858638743456,53.69458128078818,55.00000000000001,52.72727272727272,47.44186046511628
FreyaBP,55.55555555555556,52.488687782805435,48.81516587677725,53.46153846153846,47.59825327510917,57.9185520361991,54.77386934673368,58.3732057416268,50.61224489795918,54.7945205479452,48.61111111111111,57.9185520361991,47.391304347826086,57.58928571428571,54.112554112554115,55.86854460093896,47.41379310344828,50.77720207253886,51.86915887850467,51.141552511415526,48.26086956521739,63.87665198237885,53.02325581395348,55.88235294117647,42.98245614035088
FreyaSK,50.9009009009009,51.52838427947598,49.28909952606635,45.45454545454545,45.089285714285715,43.58974358974359,47.03196347031963,47.368421052631575,52.995391705069125,44.71544715447154,46.91943127962085,45.614035087719294,49.523809523809526,54.58715596330275,50.256410256410255,54.20560747663551,42.67782426778243,47.906976744186046,47.05882352941176,56.502242152466366,49.76958525345622,53.55648535564853,47.368421052631575,49.57627118644068,47.0873786407767
Gabe,49.01185770750988,47.2972972972973,47.53363228699551,51.4018691588785,47.31182795698925,45.55984555984555,44.96124031007752,43.05555555555556,44.09090909090909,48.53556485355649,45.70135746606335,49.08256880733945,46.18834080717489,49.78354978354979,49.30875576036866,48.52941176470589,45.77777777777778,45.887445887445885,52.654867256637175,49.01960784313725,46.44549763033176,50.86206896551724,49.78165938864629,47.84688995215311,45.45454545454545
Galahad,38.288288288288285,44.680851063829785,42.10526315789473,46.47302904564315,43.05555555555556,38.69346733668342,34.72222222222222,41.39344262295082,42.364532019704434,36.492890995260666,52.093023255813954,36.708860759493675,38.775510204081634,45.258620689655174,30.37974683544304,44.16243654822335,42.23107569721115,40.825688073394495,46.05263157894737,42.0353982300885,42.561983471074385,43.913043478260875,45.58139534883721,44.20600858369099,41.99134199134199
Gareth,43.859649122807014,46.85990338164252,48.309178743961354,52.04918032786885,45.20547945205479,43.80530973451327,45.87155963302752,44.66019417475729,44.29824561403509,49.787234042553195,50.21834061135371,46.84684684684685,53.30396475770925,51.442307692307686,36.492890995260666,49.11504424778761,39.08629441624365,40.723981900452486,46.84684684684685,47.61904761904761,43.28358208955223,47.28033472803347,43.290043290043286,49.57983193277311,40.69767441860465
Gawain,50.66079295154186,47.16981132075472,47.767857142857146,42.06008583690987,48.26086956521739,51.42857142857142,44.843049327354265,42.081447963800905,41.3265306122449,45.909090909090914,43.459915611814345,47.963800904977376,46.75925925925926,41.42857142857143,39.743589743589745,57.94871794871795,46.61016949152542,43.75,48.458149779735685,44.87804878048781,43.37899543378995,50.678733031674206,42.600896860986545,41.27659574468085,41.891891891891895
George,51.92307692307693,51.08225108225109,53.84615384615385,42.98245614035088,45.49180327868852,41.964285714285715,47.48858447488584,43.72093023255814,48.01762114537445,50.40650406504065,42.66666666666667,43.47826086956522,46.12068965517241,50.23041474654379,43.83561643835616,61.32075471698113,52.01793721973094,48.858447488584474,51.50214592274678,49.35622317596567,48.11715481171548,54.43037974683544,50.403225806451616,53.27510917030568,46.30541871921182
Glass,53.0,52.30125523012552,49.51456310679612,52.734375,54.502369668246445,50.48543689320388,47.391304347826086,39.705882352941174,46.02510460251046,46.53465346534654,47.8448275862069,46.22641509433962,51.20772946859904,57.56302521008403,44.10480349344978,50.45871559633027,52.44444444444445,42.06008583690987,53.78151260504202,48.35680751173709,44.33962264150944,49.549549549549546,50.0,50.476190476190474,49.50980392156863
Heracles,49.56140350877193,55.603448275862064,53.5,55.66502463054187,53.07017543859649,52.702702702702695,48.858447488584474,53.57142857142857,57.028112449799195,63.519313304721024,53.91705069124424,55.371900826446286,48.458149779735685,54.0,49.327354260089685,51.64319248826291,46.58119658119658,53.95348837209303,47.61904761904761,51.81818181818182,53.0,55.05050505050505,56.30630630630631,51.65876777251185,50.70422535211267
Imada,46.63865546218487,51.03092783505154,45.95959595959596,47.8448275862069,49.800796812749006,45.539906103286384,47.867298578199055,44.08163265306123,45.04504504504504,46.22641509433962,49.7907949790795,46.92982456140351,45.982142857142854,53.46534653465347,50.9009009009009,45.614035087719294,43.75,49.37238493723849,45.2,47.13114754098361,44.10480349344978,50.47169811320755,56.310679611650485,39.90384615384615,44.49339207048458
Inaba,52.054794520547944,41.284403669724774,45.75471698113208,44.44444444444444,45.876288659793815,41.7910447761194,42.23300970873786,42.51207729468599,41.3265306122449,42.54385964912281,43.65482233502538,44.78260869565218,44.690265486725664,46.15384615384615,40.0,49.07407407407408,43.95161290322581,51.42857142857142,40.09661835748793,44.33497536945813,37.95918367346939,39.81900452488688,46.0,36.44859813084112,35.57692307692308
Iris,53.55450236966824,54.75113122171946,50.44247787610619,54.04255319148936,54.26008968609865,50.0,50.45045045045045,47.32142857142857,52.659574468085104,51.31578947368421,51.12107623318386,49.35064935064935,50.0,49.361702127659576,52.23214285714286,54.14847161572053,49.275362318840585,46.54377880184332,51.690821256038646,48.07692307692308,46.330275229357795,54.12844036697248,49.519230769230774,48.69565217391305,51.67464114832536
Jerry,58.333333333333336,58.55855855855856,59.09090909090909,54.54545454545454,53.84615384615385,44.5,58.87445887445888,51.11940298507462,53.883495145631066,51.28205128205128,51.52838427947598,49.03846153846153,51.61290322580645,59.82905982905983,51.75438596491229,57.14285714285714,53.191489361702125,52.40174672489083,50.427350427350426,48.73096446700508,52.40174672489083,50.0,54.929577464788736,51.35135135135135,48.27586206896552
Jingke,39.743589743589745,44.85981308411215,39.81900452488688,41.66666666666667,43.17180616740088,51.94805194805194,37.610619469026545,40.18264840182648,44.01709401709402,37.88546255506608,45.04132231404959,38.73873873873874,43.722943722943725,39.02439024390244,43.05555555555556,46.568627450980394,41.49377593360996,42.07920792079208,40.36697247706422,40.375586854460096,39.71291866028708,42.14876033057851,43.40425531914894,39.46188340807175,42.6605504587156
Joe,45.87155963302752,46.07843137254902,46.26168224299065,42.72300469483568,41.3953488372093,42.32365145228216,39.726027397260275,39.59183673469388,43.17180616740088,41.30434782608695,48.41628959276018,45.21739130434783,40.31620553359683,39.130434782608695,35.748792270531396,46.63461538461539,39.719626168224295,39.74895397489539,41.46341463414634,38.775510204081634,36.93693693693694,38.288288288288285,40.909090909090914,43.11926605504588,35.148514851485146
Kyle,51.85185185185185,49.815498154981555,51.42857142857142,55.072463768115945,52.60663507109005,45.33898305084746,45.933014354066984,48.58490566037736,43.61233480176212,43.45794392523364,49.572649572649574,49.01960784313725,53.75494071146245,49.31506849315068,48.148148148148145,52.38095238095239,48.458149779735685,44.81132075471698,46.82926829268293,48.24120603015075,50.22026431718062,49.30232558139535,47.2972972972973,48.739495798319325,47.65957446808511
Lancelot,46.60633484162896,52.38095238095239,54.78260869565217,47.45762711864407,57.826086956521735,57.6036866359447,53.53159851301115,48.58490566037736,52.03252032520326,58.723404255319146,51.4018691588785,51.12107623318386,50.43478260869565,56.68016194331984,49.789029535864984,59.45945945945946,47.465437788018434,50.71090047393365,48.19277108433735,49.78165938864629,54.385964912280706,47.02970297029702,52.86885245901639,52.569169960474305,48.35680751173709
Lenpo,53.2258064516129,57.798165137614674,49.504950495049506,52.702702702702695,53.36322869955157,46.788990825688074,47.03196347031963,54.6875,55.36480686695279,45.794392523364486,48.87892376681614,49.321266968325794,49.327354260089685,49.282296650717704,51.59574468085106,48.706896551724135,51.45631067961165,52.112676056338024,48.660714285714285,44.221105527638194,55.60747663551402,53.36538461538461,49.75845410628019,50.66079295154186,44.35146443514644
LenpoOG,60.92436974789915,53.14960629921261,52.23880597014925,55.714285714285715,58.44155844155844,54.666666666666664,41.77215189873418,52.28426395939086,60.0,48.44444444444444,52.0,49.137931034482754,49.532710280373834,49.596774193548384,42.54385964912281,50.602409638554214,50.0,53.62318840579711,53.990610328638496,46.79802955665024,51.569506726457405,58.536585365853654,44.01709401709402,49.76525821596244,47.2972972972973
